date,temperature,feels_like,wind_chill,soil_temperature,dew_point,surface_temperature,pressure,cape,evaporation,irradiance,ozone,humidity,wind_speed,wind_gusts,wind_angle,cloud_cover_total,cloud_cover_low,cloud_cover_middle,cloud_cover_high,precipitation_total,energy_consumption,outdoor_temp,room_temp,room_temp_setpoint
2023-03-21 06:00:00+00:00,8.7,5.6,6.1,8.3,8.4,8.0,1014.0,3.5,0.0,0.0,328.2,97.0,4.7,8.2,212.5,100.0,100.0,72.0,98.2,2.9,0.0370000000000345,9.0,20.2,20.0
2023-03-21 12:00:00+00:00,9.8,6.3,7.2,8.5,8.5,9.2,1012.3,6.2,0.1,135.2,334.0,90.8,5.5,10.2,201.2,100.0,70.5,92.2,99.5,2.4,3.6030000000000655,10.8,20.0,20.0
2023-03-21 18:00:00+00:00,11.2,6.7,8.5,10.2,8.1,11.6,1010.3,2.5,0.1,164.5,359.2,81.0,7.1,12.5,222.3,93.0,77.3,46.7,27.7,0.0,2.7169999999999845,12.0,19.9,20.0
2023-03-22 00:00:00+00:00,9.7,5.1,6.5,9.2,7.6,8.9,1008.7,0.0,0.0,0.0,342.3,86.0,7.4,12.2,219.5,84.8,28.0,12.5,69.7,0.0,0.2399999999998954,8.2,19.3,20.0
2023-03-22 06:00:00+00:00,9.4,4.8,6.2,8.6,6.9,8.8,1005.8,6.2,0.0,0.2,330.2,83.7,7.2,12.0,209.2,87.7,48.2,63.3,77.2,0.0,0.0360000000000582,8.1,18.8,20.0
2023-03-22 12:00:00+00:00,10.0,4.4,6.5,9.4,7.4,9.0,1004.0,11.7,0.0,70.4,322.5,83.2,8.6,15.5,209.2,100.0,94.0,91.2,100.0,2.2,8.451000000000022,10.4,19.8,20.0
2023-03-22 18:00:00+00:00,10.7,5.8,7.6,9.1,9.1,9.6,1003.5,9.7,0.0,39.5,323.7,89.3,8.2,14.4,210.8,100.0,100.0,97.0,83.7,0.0,3.6019999999999754,11.5,20.0,20.0
2023-03-23 00:00:00+00:00,11.0,6.6,8.1,9.4,10.0,9.6,1001.5,27.7,0.0,0.0,327.2,92.7,7.6,14.2,206.3,100.0,96.3,94.5,95.2,2.8,1.5,11.2,19.7,20.0
2023-03-23 06:00:00+00:00,11.3,6.0,8.1,10.0,8.9,9.2,999.2,42.3,0.0,0.3,331.7,84.7,8.9,17.8,218.2,91.5,26.8,85.5,51.2,0.7,0.0370000000000345,11.0,19.2,20.0
2023-03-23 12:00:00+00:00,11.3,7.0,8.3,10.2,7.6,11.2,1001.0,20.8,0.2,330.8,342.7,77.7,8.2,15.9,229.5,28.7,12.5,17.5,6.0,0.3,6.504999999999996,12.4,20.1,20.0
2023-03-23 18:00:00+00:00,12.9,9.0,10.6,12.1,8.4,13.2,1001.5,55.3,0.1,250.8,345.0,73.8,7.2,15.5,222.0,56.7,27.7,46.5,12.0,0.8,0.0470000000000254,14.7,20.1,20.0
2023-03-24 00:00:00+00:00,11.8,7.7,9.3,11.0,9.4,10.2,999.2,21.8,0.0,0.0,332.7,85.0,6.8,13.1,198.7,100.0,69.8,100.0,97.8,5.3,1.6079999999999472,11.7,19.7,20.0
2023-03-24 06:00:00+00:00,10.6,5.4,7.2,10.0,9.0,9.6,995.5,11.7,0.0,0.6,334.8,88.8,9.2,15.2,226.3,77.3,67.2,58.7,62.5,2.0,0.0359999999999445,9.8,19.2,20.0
2023-03-24 12:00:00+00:00,10.5,5.7,7.1,10.2,7.3,11.0,999.3,69.5,0.1,329.9,353.3,80.3,8.4,16.3,235.7,42.7,29.8,9.7,14.8,0.7,4.871999999999957,12.5,20.3,20.0
2023-03-24 18:00:00+00:00,11.4,6.6,8.3,11.8,7.4,12.0,1000.3,30.8,0.1,278.4,359.3,76.0,8.4,16.2,228.8,51.5,20.2,18.3,37.0,0.8,0.0370000000000345,13.0,20.1,20.0
2023-03-25 00:00:00+00:00,9.9,4.6,6.3,10.2,6.2,8.5,999.2,5.0,0.0,0.0,364.7,77.7,8.8,15.7,224.2,49.2,21.0,17.5,31.5,0.0,1.6550000000000864,9.7,19.8,20.0
2023-03-25 06:00:00+00:00,8.8,3.2,4.9,9.2,6.5,7.5,999.0,11.5,0.0,0.6,371.7,84.8,8.9,16.2,230.2,76.3,48.0,47.2,39.2,1.0,0.0349999999999681,8.9,19.2,20.0
2023-03-25 12:00:00+00:00,9.1,3.0,5.1,9.0,6.2,8.8,999.5,18.8,0.1,243.2,383.0,81.7,9.5,18.0,238.7,80.2,62.0,25.3,35.5,0.3,7.021000000000072,11.2,20.1,20.0
2023-03-25 18:00:00+00:00,9.9,3.7,6.0,10.6,6.4,10.7,1001.7,24.0,0.2,280.8,385.3,78.2,10.4,20.4,258.7,53.2,30.2,32.8,19.7,2.3,2.550999999999931,9.5,20.0,20.0
2023-03-26 00:00:00+00:00,7.9,5.6,5.2,8.8,6.4,6.6,1005.2,0.7,-0.0,0.0,388.8,89.5,4.7,8.0,268.7,30.0,18.3,16.5,5.8,0.0,1.5699999999999363,7.1,20.6,20.0
2023-03-26 06:00:00+00:00,6.0,4.5,5.4,7.4,5.5,5.1,1005.0,0.2,-0.0,0.6,386.7,95.5,1.5,3.1,200.2,84.8,70.3,6.7,75.7,0.0,2.2730000000001382,6.7,19.8,20.0
2023-03-26 12:00:00+00:00,7.2,3.6,4.3,7.6,5.3,8.3,1003.2,5.5,0.1,156.7,388.5,87.7,4.5,9.2,55.0,100.0,81.5,6.2,99.8,0.0,5.650999999999954,7.7,20.0,20.0
2023-03-26 18:00:00+00:00,7.4,2.0,3.7,8.8,1.1,8.5,1005.8,0.2,0.2,261.1,384.7,63.5,6.9,13.0,20.7,83.8,23.7,3.7,82.8,0.0,3.409999999999968,8.3,20.1,20.0
2023-03-27 00:00:00+00:00,5.2,1.0,1.3,6.5,-0.3,4.1,1011.8,3.3,0.0,0.0,374.7,67.2,5.7,9.8,123.5,39.0,28.7,22.2,0.0,0.0,2.019000000000005,4.3,19.7,20.0
2023-03-27 06:00:00+00:00,3.5,-0.6,-0.7,4.4,-0.3,3.1,1016.7,14.5,0.0,1.2,376.0,75.3,5.4,9.1,336.0,49.0,25.0,41.8,0.0,0.0,2.893000000000029,2.2,19.0,20.0
2023-03-27 12:00:00+00:00,4.9,0.1,0.4,5.2,-0.4,6.5,1020.5,27.8,0.2,387.0,391.2,68.5,6.9,13.3,323.3,29.2,21.0,18.3,0.0,0.0,6.923000000000002,5.1,20.1,20.0
2023-03-27 18:00:00+00:00,6.4,1.3,2.1,8.3,-0.5,7.9,1023.3,18.2,0.2,346.4,390.2,61.0,7.3,13.9,319.3,28.8,23.5,13.2,0.0,0.0,1.7369999999999663,6.6,20.0,20.0
2023-03-28 00:00:00+00:00,3.6,0.3,-0.1,5.0,-0.7,2.8,1025.3,3.5,0.0,0.0,378.7,73.0,4.6,7.7,315.3,27.3,25.7,7.3,0.0,0.0,1.7160000000000082,1.6,21.2,20.0
2023-03-28 06:00:00+00:00,0.9,-0.9,-1.6,2.2,-1.0,0.5,1026.0,5.7,0.0,1.4,368.0,86.7,2.2,3.9,267.0,33.7,33.2,0.0,0.7,0.0,4.638000000000034,-0.8,19.4,20.0
2023-03-28 12:00:00+00:00,4.5,0.4,1.2,4.4,0.2,6.0,1025.5,2.8,0.1,262.1,359.8,73.7,4.2,8.6,199.3,93.0,20.0,75.0,85.8,0.0,8.511999999999944,6.0,20.0,20.0
2023-03-28 18:00:00+00:00,6.7,1.7,3.3,6.8,0.5,7.3,1021.7,1.7,0.1,142.8,361.3,64.2,5.7,10.4,195.3,99.7,75.8,99.2,87.5,2.5,4.1329999999999245,8.6,20.0,20.0
2023-03-29 00:00:00+00:00,6.0,1.7,2.5,5.7,3.4,4.8,1017.8,0.7,0.0,0.0,374.0,82.7,5.1,9.0,186.8,99.2,19.5,93.5,89.0,0.0,1.1420000000001664,6.1,19.2,20.0
2023-03-29 06:00:00+00:00,6.5,2.5,3.3,5.9,3.6,5.3,1014.2,3.0,0.0,1.2,376.3,80.8,4.8,8.3,202.5,96.7,94.8,33.7,9.5,0.0,2.56899999999996,6.3,18.7,20.0
2023-03-29 12:00:00+00:00,9.1,5.9,6.7,7.2,7.1,9.8,1013.0,12.8,0.1,202.5,355.7,86.7,4.4,8.6,215.2,96.3,91.8,21.0,57.0,0.0,1.2879999999998972,8.6,18.6,20.0
2023-03-29 18:00:00+00:00,12.2,9.3,10.5,10.1,9.2,12.2,1011.3,2.2,0.1,155.4,332.8,81.3,4.7,8.8,209.2,100.0,95.0,58.5,100.0,1.4,0.0570000000000163,11.5,18.4,20.0
2023-03-30 00:00:00+00:00,12.2,9.3,10.3,10.0,10.2,10.0,1006.5,2.7,0.0,0.0,326.5,86.7,5.3,9.5,186.7,90.8,17.3,47.3,75.3,0.6,0.0610000000000354,11.5,18.1,20.0
2023-03-30 06:00:00+00:00,12.3,7.9,9.8,10.1,9.0,10.1,1002.8,1.0,0.0,1.1,342.8,79.7,7.5,13.8,225.8,84.8,52.2,30.2,35.0,0.0,0.0629999999999881,11.6,17.8,20.0
2023-03-30 12:00:00+00:00,11.9,6.6,8.9,10.5,8.5,12.0,1003.5,17.2,0.2,311.1,360.3,79.5,9.3,17.8,237.7,65.0,63.7,19.0,0.2,0.0,0.0620000000000118,12.4,18.3,20.0
2023-03-30 18:00:00+00:00,12.9,8.1,10.2,12.2,8.5,13.7,1004.8,8.5,0.1,294.7,360.5,74.7,9.2,17.0,241.5,37.7,15.0,15.2,23.2,0.8,7.2000000000000455,14.6,19.5,20.0
2023-03-31 00:00:00+00:00,10.8,7.1,8.0,10.8,8.3,9.3,1004.3,4.3,0.0,0.0,361.3,83.7,6.8,11.6,227.0,55.2,37.0,42.2,39.7,0.0,1.1130000000000564,10.1,19.2,18.5
2023-03-31 06:00:00+00:00,10.0,6.6,7.4,9.6,8.8,8.8,998.8,24.0,0.0,0.4,365.8,92.3,5.2,9.1,187.5,99.7,59.7,80.0,85.5,4.4,1.9489999999999557,9.9,18.8,19.2
2023-03-31 12:00:00+00:00,10.7,7.0,8.1,9.7,9.2,10.1,992.5,33.2,0.0,89.4,385.5,90.5,6.1,11.8,187.0,99.5,81.3,96.2,91.0,3.5,6.505999999999972,11.5,19.9,20.0
2023-03-31 18:00:00+00:00,11.0,7.0,8.3,10.2,9.0,11.2,989.3,25.3,0.1,124.3,384.8,87.3,6.5,11.0,196.8,99.5,76.0,93.0,88.8,1.9,2.9549999999999272,11.5,20.6,20.0
2023-04-01 00:00:00+00:00,9.8,7.5,8.1,9.7,9.3,9.0,988.7,26.5,0.0,0.0,385.3,96.0,3.7,7.0,185.3,100.0,100.0,81.2,70.2,2.6,0.0450000000000727,10.0,21.7,18.5
2023-04-01 06:00:00+00:00,9.2,7.4,8.0,9.4,9.0,8.7,991.0,23.3,0.0,0.5,382.0,97.8,2.7,5.5,310.5,100.0,100.0,84.0,66.3,0.8,0.0359999999999445,9.3,20.1,19.2
2023-04-01 12:00:00+00:00,9.8,7.0,7.5,9.6,9.0,9.8,995.8,20.2,0.0,122.3,375.3,94.8,4.4,8.9,288.7,99.7,96.0,76.7,36.2,0.3,3.1660000000000537,10.7,20.0,20.0
2023-04-01 18:00:00+00:00,9.8,6.1,7.1,9.9,8.5,10.5,1001.5,11.0,0.0,93.5,365.3,91.3,5.8,11.1,20.8,100.0,99.7,66.7,70.3,1.3,3.8090000000000823,10.0,20.0,20.0
2023-04-02 00:00:00+00:00,7.2,2.5,3.4,8.7,5.7,6.8,1008.8,10.3,0.0,0.0,360.7,89.8,6.5,12.2,35.3,100.0,100.0,74.3,79.5,0.0,0.6079999999999472,6.9,21.7,18.5
2023-04-02 06:00:00+00:00,4.7,-0.4,0.4,6.8,2.1,4.3,1015.7,2.2,0.0,2.9,354.7,83.0,6.3,11.8,46.8,96.7,86.8,13.3,67.3,0.0,2.684999999999945,4.6,19.9,19.2
2023-04-02 12:00:00+00:00,4.0,-1.3,-0.8,6.2,0.0,6.6,1022.5,0.0,0.2,436.8,371.0,75.2,6.8,12.8,54.2,67.0,65.8,2.5,4.8,0.0,5.013000000000034,5.0,20.2,20.0
2023-04-02 18:00:00+00:00,8.0,4.2,4.8,9.7,1.5,10.2,1026.2,0.0,0.2,411.8,387.8,63.0,5.9,11.4,53.3,23.7,23.7,0.0,0.0,0.0,0.0409999999999399,8.7,20.1,20.0
2023-04-03 00:00:00+00:00,4.9,2.1,1.3,6.3,1.0,4.3,1029.8,0.0,0.0,0.1,379.8,75.7,4.7,8.1,48.5,5.7,5.7,0.0,0.0,0.0,2.375,4.9,19.6,19.0
