time,Import kWh,Export kWh,L1 max W,L2 max W,L3 max W
2024-01-01 00:00,85.404,0.002,0,0,0
2024-01-01 00:15,85.404,0.002,0,0,0
2024-01-01 00:30,85.404,0.002,0,0,0
2024-01-01 00:45,85.404,0.002,0,0,0
2024-01-01 01:00,85.404,0.002,0,0,0
2024-01-01 01:15,85.404,0.002,0,0,0
2024-01-01 01:30,85.404,0.002,0,0,0
2024-01-01 01:45,85.404,0.002,0,0,0
2024-01-01 02:00,85.404,0.002,0,0,0
2024-01-01 02:15,85.404,0.002,0,0,0
2024-01-01 02:30,85.404,0.002,0,0,0
2024-01-01 02:45,85.404,0.002,0,0,0
2024-01-01 03:00,85.404,0.002,0,0,0
2024-01-01 03:15,85.404,0.002,0,0,0
2024-01-01 03:30,85.404,0.002,0,0,0
2024-01-01 03:45,85.404,0.002,0,0,0
2024-01-01 04:00,85.404,0.002,0,0,0
2024-01-01 04:15,85.404,0.002,0,0,0
2024-01-01 04:30,85.404,0.002,0,0,0
2024-01-01 04:45,85.404,0.002,51,0,0
2024-01-01 05:00,85.414,0.002,50,0,0
2024-01-01 05:15,85.427,0.002,50,0,0
2024-01-01 05:30,85.440,0.002,51,0,0
2024-01-01 05:45,85.452,0.002,50,0,0
2024-01-01 06:00,85.466,0.002,50,0,0
2024-01-01 06:15,85.478,0.002,50,0,0
2024-01-01 06:30,85.491,0.002,50,0,0
2024-01-01 06:45,85.504,0.002,50,0,0
2024-01-01 07:00,85.516,0.002,50,0,0
2024-01-01 07:15,85.528,0.002,50,0,0
2024-01-01 07:30,85.542,0.002,50,0,0
2024-01-01 07:45,85.554,0.002,50,0,0
2024-01-01 08:00,85.567,0.002,50,0,0
2024-01-01 08:15,85.580,0.002,51,0,0
2024-01-01 08:30,85.592,0.002,50,0,0
2024-01-01 08:45,85.604,0.002,50,0,0
2024-01-01 09:00,85.614,0.002,0,0,0
2024-01-01 09:15,85.614,0.002,0,0,0
2024-01-01 09:30,85.614,0.002,0,0,0
2024-01-01 09:45,85.614,0.002,0,0,0
2024-01-01 10:00,85.614,0.002,20,0,0
2024-01-01 10:15,85.616,0.002,50,0,0
2024-01-01 10:30,85.630,0.002,50,0,0
2024-01-01 10:45,85.642,0.002,50,0,0
2024-01-01 11:00,85.654,0.002,50,0,0
2024-01-01 11:15,85.667,0.002,50,0,0
2024-01-01 11:30,85.680,0.002,50,0,0
2024-01-01 11:45,85.692,0.002,50,0,0
2024-01-01 12:00,85.703,0.002,0,0,0
2024-01-01 12:15,85.703,0.002,0,0,0
2024-01-01 12:30,85.703,0.002,0,0,0
2024-01-01 12:45,85.703,0.002,0,0,0
2024-01-01 13:00,85.703,0.002,0,0,0
2024-01-01 13:15,85.703,0.002,0,0,0
2024-01-01 13:30,85.703,0.002,50,0,0
2024-01-01 13:45,85.712,0.002,50,0,0
2024-01-01 14:00,85.724,0.002,50,0,0
2024-01-01 14:15,85.736,0.002,50,0,0
2024-01-01 14:30,85.747,0.002,0,0,0
2024-01-01 14:45,85.747,0.002,0,0,0
2024-01-01 15:00,85.747,0.002,0,0,0
2024-01-01 15:15,85.747,0.002,0,0,0
2024-01-01 15:30,85.747,0.002,50,0,0
2024-01-01 15:45,85.755,0.002,50,0,0
2024-01-01 16:00,85.768,0.002,50,0,0
2024-01-01 16:15,85.780,0.002,50,0,0
2024-01-01 16:30,85.793,0.002,50,0,0
2024-01-01 16:45,85.806,0.002,50,0,0
2024-01-01 17:00,85.818,0.002,50,0,0
2024-01-01 17:15,85.831,0.002,50,0,0
2024-01-01 17:30,85.844,0.002,50,0,0
2024-01-01 17:45,85.856,0.002,50,0,0
2024-01-01 18:00,85.868,0.002,50,0,0
2024-01-01 18:15,85.882,0.002,50,0,0
2024-01-01 18:30,85.894,0.002,50,0,0
2024-01-01 18:45,85.907,0.002,50,0,0
2024-01-01 19:00,85.915,0.002,0,0,0
2024-01-01 19:15,85.915,0.002,0,0,0
2024-01-01 19:30,85.915,0.002,0,0,0
2024-01-01 19:45,85.915,0.002,0,0,0
2024-01-01 20:00,85.915,0.002,0,0,0
2024-01-01 20:15,85.915,0.002,0,0,0
2024-01-01 20:30,85.915,0.002,0,0,0
2024-01-01 20:45,85.915,0.002,0,0,0
2024-01-01 21:00,85.915,0.002,0,0,0
2024-01-01 21:15,85.915,0.002,0,0,0
2024-01-01 21:30,85.915,0.002,0,0,0
2024-01-01 21:45,85.915,0.002,0,0,0
2024-01-01 22:00,85.915,0.002,0,0,0
2024-01-01 22:15,85.915,0.002,0,0,0
2024-01-01 22:30,85.915,0.002,0,0,0
2024-01-01 22:45,85.915,0.002,0,0,0
2024-01-01 23:00,85.915,0.002,0,0,0
2024-01-01 23:15,85.915,0.002,0,0,0
2024-01-01 23:30,85.915,0.002,0,0,0
2024-01-01 23:45,85.915,0.002,0,0,0
2024-01-02 00:00,85.915,0.002,0,0,0
2024-01-02 00:15,85.915,0.002,0,0,0
2024-01-02 00:30,85.915,0.002,0,0,0
2024-01-02 00:45,85.915,0.002,0,0,0
2024-01-02 01:00,85.915,0.002,0,0,0
2024-01-02 01:15,85.915,0.002,0,0,0
2024-01-02 01:30,85.915,0.002,0,0,0
2024-01-02 01:45,85.915,0.002,0,0,0
2024-01-02 02:00,85.915,0.002,0,0,0
2024-01-02 02:15,85.915,0.002,0,0,0
2024-01-02 02:30,85.915,0.002,0,0,0
2024-01-02 02:45,85.915,0.002,0,0,0
2024-01-02 03:00,85.915,0.002,0,0,0
2024-01-02 03:15,85.915,0.002,0,0,0
2024-01-02 03:30,85.916,0.002,51,0,0
2024-01-02 03:45,85.929,0.002,50,0,0
2024-01-02 04:00,85.941,0.002,50,0,0
2024-01-02 04:15,85.954,0.002,50,0,0
2024-01-02 04:30,85.966,0.002,50,0,0
2024-01-02 04:45,85.980,0.002,50,0,0
2024-01-02 05:00,85.992,0.002,50,0,0
2024-01-02 05:15,86.005,0.002,50,0,0
2024-01-02 05:30,86.018,0.002,50,0,0
2024-01-02 05:45,86.030,0.002,50,0,0
2024-01-02 06:00,86.042,0.002,50,0,0
2024-01-02 06:15,86.056,0.002,50,0,0
2024-01-02 06:30,86.068,0.002,50,0,0
2024-01-02 06:45,86.081,0.002,50,0,0
2024-01-02 07:00,86.094,0.002,50,0,0
2024-01-02 07:15,86.106,0.002,51,0,0
2024-01-02 07:30,86.118,0.002,51,0,0
2024-01-02 07:45,86.132,0.002,23,0,0
2024-01-02 08:00,86.133,0.002,0,0,0
2024-01-02 08:15,86.133,0.002,0,0,0
2024-01-02 08:30,86.133,0.002,0,0,0
2024-01-02 08:45,86.133,0.002,0,0,0
2024-01-02 09:00,86.133,0.002,0,0,0
2024-01-02 09:15,86.133,0.002,50,0,0
2024-01-02 09:30,86.145,0.002,50,0,0
2024-01-02 09:45,86.158,0.002,50,0,0
2024-01-02 10:00,86.170,0.002,50,0,0
2024-01-02 10:15,86.183,0.002,50,0,0
