time,Import kWh,Export kWh
2023-03-01 00:00,172.074,0.000
2023-03-01 00:15,172.091,0.000
2023-03-01 00:30,172.099,0.000
2023-03-01 00:45,172.301,0.000
2023-03-01 01:00,172.622,0.000
2023-03-01 01:15,172.634,0.000
2023-03-01 01:30,172.642,0.000
2023-03-01 01:45,172.836,0.000
2023-03-01 02:00,173.139,0.000
2023-03-01 02:15,173.147,0.000
2023-03-01 02:30,173.155,0.000
2023-03-01 02:45,173.430,0.000
2023-03-01 03:00,173.669,0.000
2023-03-01 03:15,173.676,0.000
2023-03-01 03:30,173.684,0.000
2023-03-01 03:45,174.031,0.000
2023-03-01 04:00,174.217,0.000
2023-03-01 04:15,174.225,0.000
2023-03-01 04:30,174.233,0.000
2023-03-01 04:45,174.610,0.000
2023-03-01 05:00,174.825,0.000
2023-03-01 05:15,174.832,0.000
2023-03-01 05:30,174.840,0.000
2023-03-01 05:45,175.198,0.000
2023-03-01 06:00,175.413,0.000
2023-03-01 06:15,175.729,0.000
2023-03-01 06:30,176.183,0.000
2023-03-01 06:45,176.848,0.000
2023-03-01 07:00,177.562,0.000
2023-03-01 07:15,178.140,0.000
2023-03-01 07:30,178.995,0.000
2023-03-01 07:45,179.485,0.000
2023-03-01 08:00,180.351,0.000
2023-03-01 08:15,181.056,0.000
2023-03-01 08:30,181.777,0.000
2023-03-01 08:45,182.517,0.000
2023-03-01 09:00,182.926,0.000
2023-03-01 09:15,183.304,0.000
2023-03-01 09:30,184.072,0.000
2023-03-01 09:45,184.576,0.000
2023-03-01 10:00,184.838,0.000
2023-03-01 10:15,185.213,0.000
2023-03-01 10:30,185.601,0.000
2023-03-01 10:45,185.937,0.000
2023-03-01 11:00,186.297,0.000
2023-03-01 11:15,186.666,0.000
2023-03-01 11:30,187.015,0.000
2023-03-01 11:45,187.379,0.000
2023-03-01 12:00,187.724,0.000
2023-03-01 12:15,188.085,0.000
2023-03-01 12:30,188.426,0.000
2023-03-01 12:45,188.786,0.000
2023-03-01 13:00,189.140,0.000
2023-03-01 13:15,189.483,0.000
2023-03-01 13:30,189.838,0.000
2023-03-01 13:45,190.176,0.000
2023-03-01 14:00,190.528,0.000
2023-03-01 14:15,190.864,0.000
2023-03-01 14:30,191.213,0.000
2023-03-01 14:45,191.543,0.000
2023-03-01 15:00,191.884,0.000
2023-03-01 15:15,192.210,0.000
2023-03-01 15:30,192.539,0.000
2023-03-01 15:45,192.874,0.000
2023-03-01 16:00,193.195,0.000
2023-03-01 16:15,193.529,0.000
2023-03-01 16:30,193.848,0.000
2023-03-01 16:45,194.178,0.000
2023-03-01 17:00,194.492,0.000
2023-03-01 17:15,194.822,0.000
2023-03-01 17:30,195.135,0.000
2023-03-01 17:45,195.463,0.000
2023-03-01 18:00,195.786,0.000
2023-03-01 18:15,195.795,0.000
2023-03-01 18:30,195.798,0.000
2023-03-01 18:45,195.801,0.000
2023-03-01 19:00,195.803,0.000
2023-03-01 19:15,195.806,0.000
2023-03-01 19:30,195.809,0.000
2023-03-01 19:45,195.812,0.000
2023-03-01 20:00,195.816,0.000
2023-03-01 20:15,195.821,0.000
2023-03-01 20:30,195.823,0.000
2023-03-01 20:45,195.830,0.000
2023-03-01 21:00,195.832,0.000
2023-03-01 21:15,195.834,0.000
2023-03-01 21:30,195.839,0.000
2023-03-01 21:45,195.841,0.000
2023-03-01 22:00,195.844,0.000
2023-03-01 22:15,195.847,0.000
2023-03-01 22:30,195.849,0.000
2023-03-01 22:45,195.854,0.000
2023-03-01 23:00,196.212,0.000
2023-03-01 23:15,196.625,0.000
2023-03-01 23:30,196.775,0.000
2023-03-01 23:45,196.991,0.000
2023-03-02 00:00,197.059,0.000
2023-03-02 00:15,197.067,0.000
2023-03-02 00:30,197.250,0.000
2023-03-02 00:45,197.543,0.000
2023-03-02 01:00,197.577,0.000
2023-03-02 01:15,197.584,0.000
2023-03-02 01:30,197.778,0.000
2023-03-02 01:45,198.043,0.000
2023-03-02 02:00,198.055,0.000
2023-03-02 02:15,198.062,0.000
2023-03-02 02:30,198.349,0.000
2023-03-02 02:45,198.600,0.000
2023-03-02 03:00,198.609,0.000
2023-03-02 03:15,198.617,0.000
2023-03-02 03:30,198.863,0.000
2023-03-02 03:45,199.088,0.000
2023-03-02 04:00,199.096,0.000
2023-03-02 04:15,199.103,0.000
2023-03-02 04:30,199.444,0.000
2023-03-02 04:45,199.598,0.000
2023-03-02 05:00,199.606,0.000
2023-03-02 05:15,199.631,0.000
2023-03-02 05:30,199.998,0.000
2023-03-02 05:45,200.091,0.000
2023-03-02 06:00,200.099,0.000
2023-03-02 06:15,200.478,0.000
2023-03-02 06:30,201.321,0.000
2023-03-02 06:45,202.074,0.000
2023-03-02 07:00,202.471,0.000
2023-03-02 07:15,203.255,0.000
2023-03-02 07:30,203.795,0.000
2023-03-02 07:45,204.086,0.000
2023-03-02 08:00,204.493,0.000
2023-03-02 08:15,204.899,0.000
2023-03-02 08:30,205.417,0.000
2023-03-02 08:45,206.144,0.000
2023-03-02 09:00,206.477,0.000
2023-03-02 09:15,206.799,0.000
2023-03-02 09:30,207.233,0.000
2023-03-02 09:45,207.592,0.000
2023-03-02 10:00,207.959,0.000
2023-03-02 10:15,208.325,0.000
2023-03-02 10:30,208.714,0.000
2023-03-02 10:45,209.101,0.000
2023-03-02 11:00,209.490,0.000
2023-03-02 11:15,210.309,0.000
2023-03-02 11:30,210.650,0.000
2023-03-02 11:45,210.924,0.000
2023-03-02 12:00,211.300,0.000
2023-03-02 12:15,211.668,0.000
2023-03-02 12:30,211.991,0.000
2023-03-02 12:45,212.365,0.000
2023-03-02 13:00,212.699,0.000
2023-03-02 13:15,213.043,0.000
2023-03-02 13:30,213.378,0.000
2023-03-02 13:45,213.729,0.000
2023-03-02 14:00,214.059,0.000
2023-03-02 14:15,214.402,0.000
2023-03-02 14:30,214.730,0.000
2023-03-02 14:45,215.067,0.000
2023-03-02 15:00,215.413,0.000
2023-03-02 15:15,215.746,0.000
2023-03-02 15:30,216.092,0.000
2023-03-02 15:45,216.425,0.000
2023-03-02 16:00,216.769,0.000
2023-03-02 16:15,217.099,0.000
2023-03-02 16:30,217.447,0.000
2023-03-02 16:45,217.780,0.000
2023-03-02 17:00,218.131,0.000
2023-03-02 17:15,218.469,0.000
2023-03-02 17:30,218.826,0.000
2023-03-02 17:45,219.173,0.000
2023-03-02 18:00,219.535,0.000
2023-03-02 18:15,219.544,0.000
2023-03-02 18:30,219.547,0.000
2023-03-02 18:45,219.549,0.000
2023-03-02 19:00,219.552,0.000
2023-03-02 19:15,219.554,0.000
2023-03-02 19:30,219.557,0.000
2023-03-02 19:45,219.560,0.000
2023-03-02 20:00,219.566,0.000
2023-03-02 20:15,219.569,0.000
2023-03-02 20:30,219.572,0.000
2023-03-02 20:45,219.578,0.000
2023-03-02 21:00,219.580,0.000
2023-03-02 21:15,219.584,0.000
2023-03-02 21:30,219.587,0.000
2023-03-02 21:45,219.589,0.000
2023-03-02 22:00,219.594,0.000
2023-03-02 22:15,219.595,0.000
2023-03-02 22:30,219.597,0.000
2023-03-02 22:45,219.602,0.000
2023-03-02 23:00,219.604,0.000
2023-03-02 23:15,219.607,0.000
2023-03-02 23:30,219.610,0.000
2023-03-02 23:45,219.612,0.000
2023-03-03 00:00,219.617,0.000
2023-03-03 00:15,219.619,0.000
2023-03-03 00:30,220.155,0.000
2023-03-03 00:45,220.406,0.000
2023-03-03 01:00,220.619,0.000
2023-03-03 01:15,220.835,0.000
2023-03-03 01:30,220.847,0.000
2023-03-03 01:45,220.854,0.000
2023-03-03 02:00,221.153,0.000
2023-03-03 02:15,221.394,0.000
2023-03-03 02:30,221.406,0.000
2023-03-03 02:45,221.413,0.000
2023-03-03 03:00,221.685,0.000
2023-03-03 03:15,221.855,0.000
2023-03-03 03:30,221.864,0.000
2023-03-03 03:45,221.918,0.000
2023-03-03 04:00,222.271,0.000
2023-03-03 04:15,222.375,0.000
2023-03-03 04:30,222.383,0.000
2023-03-03 04:45,222.471,0.000
2023-03-03 05:00,222.813,0.000
2023-03-03 05:15,222.845,0.000
2023-03-03 05:30,222.853,0.000
2023-03-03 05:45,223.101,0.000
2023-03-03 06:00,223.343,0.000
2023-03-03 06:15,223.572,0.000
2023-03-03 06:30,224.436,0.000
2023-03-03 06:45,225.003,0.000
2023-03-03 07:00,225.320,0.000
2023-03-03 07:15,225.663,0.000
2023-03-03 07:30,226.075,0.000
2023-03-03 07:45,226.558,0.000
2023-03-03 08:00,227.315,0.000
2023-03-03 08:15,227.628,0.000
2023-03-03 08:30,227.947,0.000
2023-03-03 08:45,228.340,0.000
2023-03-03 09:00,228.717,0.000
2023-03-03 09:15,229.054,0.000
2023-03-03 09:30,229.449,0.000
2023-03-03 09:45,229.793,0.000
2023-03-03 10:00,230.159,0.000
2023-03-03 10:15,230.512,0.000
2023-03-03 10:30,230.882,0.000
2023-03-03 10:45,231.243,0.000
2023-03-03 11:00,231.634,0.000
2023-03-03 11:15,231.982,0.000
2023-03-03 11:30,232.778,0.000
2023-03-03 11:45,233.268,0.000
2023-03-03 12:00,233.493,0.000
2023-03-03 12:15,233.817,0.000
2023-03-03 12:30,234.172,0.000
2023-03-03 12:45,234.464,0.000
2023-03-03 13:00,234.816,0.000
2023-03-03 13:15,235.125,0.000
2023-03-03 13:30,235.456,0.000
2023-03-03 13:45,235.774,0.000
2023-03-03 14:00,236.085,0.000
2023-03-03 14:15,236.430,0.000
2023-03-03 14:30,236.718,0.000
2023-03-03 14:45,237.060,0.000
2023-03-03 15:00,237.358,0.000
2023-03-03 15:15,237.691,0.000
2023-03-03 15:30,238.007,0.000
2023-03-03 15:45,238.313,0.000
2023-03-03 16:00,238.644,0.000
2023-03-03 16:15,238.947,0.000
2023-03-03 16:30,239.261,0.000
2023-03-03 16:45,239.587,0.000
2023-03-03 17:00,239.880,0.000
2023-03-03 17:15,240.221,0.000
2023-03-03 17:30,240.508,0.000
2023-03-03 17:45,240.837,0.000
2023-03-03 18:00,241.149,0.000
2023-03-03 18:15,241.456,0.000
2023-03-03 18:30,241.694,0.000
2023-03-03 18:45,241.764,0.000
2023-03-03 19:00,241.772,0.000
2023-03-03 19:15,241.830,0.000
2023-03-03 19:30,242.132,0.000
2023-03-03 19:45,242.234,0.000
2023-03-03 20:00,242.242,0.000
2023-03-03 20:15,242.250,0.000
2023-03-03 20:30,242.576,0.000
2023-03-03 20:45,242.720,0.000
2023-03-03 21:00,242.729,0.000
2023-03-03 21:15,242.737,0.000
2023-03-03 21:30,242.983,0.000
2023-03-03 21:45,243.157,0.000
2023-03-03 22:00,243.166,0.000
2023-03-03 22:15,243.174,0.000
2023-03-03 22:30,243.177,0.000
2023-03-03 22:45,243.180,0.000
2023-03-03 23:00,243.182,0.000
2023-03-03 23:15,243.185,0.000
2023-03-03 23:30,243.188,0.000
2023-03-03 23:45,243.190,0.000
2023-03-04 00:00,243.193,0.000
2023-03-04 00:15,243.195,0.000
2023-03-04 00:30,243.198,0.000
2023-03-04 00:45,243.204,0.000
2023-03-04 01:00,243.206,0.000
2023-03-04 01:15,243.209,0.000
2023-03-04 01:30,243.212,0.000
2023-03-04 01:45,243.214,0.000
2023-03-04 02:00,243.219,0.000
2023-03-04 02:15,243.221,0.000
2023-03-04 02:30,243.222,0.000
2023-03-04 02:45,243.227,0.000
2023-03-04 03:00,243.229,0.000
2023-03-04 03:15,243.232,0.000
2023-03-04 03:30,243.236,0.000
2023-03-04 03:45,243.237,0.000
2023-03-04 04:00,243.242,0.000
2023-03-04 04:15,243.244,0.000
2023-03-04 04:30,243.246,0.000
2023-03-04 04:45,243.251,0.000
2023-03-04 05:00,243.252,0.000
2023-03-04 05:15,243.256,0.000
2023-03-04 05:30,243.259,0.000
2023-03-04 05:45,243.260,0.000
2023-03-04 06:00,243.265,0.000
2023-03-04 06:15,243.267,0.000
2023-03-04 06:30,243.269,0.000
2023-03-04 06:45,243.273,0.000
2023-03-04 07:00,243.275,0.000
2023-03-04 07:15,243.755,0.000
2023-03-04 07:30,244.072,0.000
2023-03-04 07:45,244.563,0.000
2023-03-04 08:00,245.413,0.000
2023-03-04 08:15,245.816,0.000
2023-03-04 08:30,246.093,0.000
2023-03-04 08:45,246.406,0.000
2023-03-04 09:00,246.730,0.000
2023-03-04 09:15,246.947,0.000
2023-03-04 09:30,247.021,0.000
2023-03-04 09:45,247.028,0.000
2023-03-04 10:00,247.157,0.000
2023-03-04 10:15,247.451,0.000
2023-03-04 10:30,247.516,0.000
2023-03-04 10:45,247.524,0.000
2023-03-04 11:00,247.673,0.000
2023-03-04 11:15,247.959,0.000
2023-03-04 11:30,247.976,0.000
2023-03-04 11:45,247.983,0.000
2023-03-04 12:00,248.206,0.000
2023-03-04 12:15,248.407,0.000
2023-03-04 12:30,248.415,0.000
2023-03-04 12:45,248.434,0.000
2023-03-04 13:00,248.755,0.000
2023-03-04 13:15,248.844,0.000
2023-03-04 13:30,248.851,0.000
2023-03-04 13:45,248.992,0.000
2023-03-04 14:00,249.278,0.000
2023-03-04 14:15,249.287,0.000
2023-03-04 14:30,249.294,0.000
2023-03-04 14:45,249.585,0.000
2023-03-04 15:00,249.738,0.000
2023-03-04 15:15,249.747,0.000
2023-03-04 15:30,249.755,0.000
2023-03-04 15:45,250.111,0.000
2023-03-04 16:00,250.240,0.000
2023-03-04 16:15,250.248,0.000
2023-03-04 16:30,250.256,0.000
2023-03-04 16:45,250.585,0.000
2023-03-04 17:00,250.684,0.000
2023-03-04 17:15,251.040,0.000
2023-03-04 17:30,251.869,0.000
2023-03-04 17:45,252.238,0.000
2023-03-04 18:00,252.499,0.000
2023-03-04 18:15,252.858,0.000
2023-03-04 18:30,253.198,0.000
2023-03-04 18:45,253.510,0.000
2023-03-04 19:00,253.875,0.000
2023-03-04 19:15,254.185,0.000
2023-03-04 19:30,254.535,0.000
2023-03-04 19:45,254.876,0.000
2023-03-04 20:00,255.200,0.000
2023-03-04 20:15,255.550,0.000
2023-03-04 20:30,255.881,0.000
2023-03-04 20:45,256.209,0.000
2023-03-04 21:00,256.551,0.000
2023-03-04 21:15,256.867,0.000
2023-03-04 21:30,257.221,0.000
2023-03-04 21:45,257.529,0.000
2023-03-04 22:00,257.874,0.000
2023-03-04 22:15,257.883,0.000
2023-03-04 22:30,257.885,0.000
2023-03-04 22:45,257.888,0.000
2023-03-04 23:00,257.891,0.000
2023-03-04 23:15,257.893,0.000
2023-03-04 23:30,257.896,0.000
2023-03-04 23:45,257.899,0.000
2023-03-05 00:00,257.902,0.000
2023-03-05 00:15,257.908,0.000
2023-03-05 00:30,257.911,0.000
2023-03-05 00:45,257.916,0.000
2023-03-05 01:00,257.919,0.000
2023-03-05 01:15,257.921,0.000
2023-03-05 01:30,257.926,0.000
2023-03-05 01:45,257.927,0.000
2023-03-05 02:00,257.929,0.000
2023-03-05 02:15,257.934,0.000
2023-03-05 02:30,257.935,0.000
2023-03-05 02:45,257.939,0.000
2023-03-05 03:00,257.942,0.000
2023-03-05 03:15,257.943,0.000
2023-03-05 03:30,258.215,0.000
2023-03-05 03:45,258.718,0.000
2023-03-05 04:00,258.844,0.000
2023-03-05 04:15,259.062,0.000
2023-03-05 04:30,259.152,0.000
2023-03-05 04:45,259.160,0.000
2023-03-05 05:00,259.289,0.000
2023-03-05 05:15,259.616,0.000
2023-03-05 05:30,259.658,0.000
2023-03-05 05:45,259.666,0.000
2023-03-05 06:00,259.807,0.000
2023-03-05 06:15,260.138,0.000
2023-03-05 06:30,260.166,0.000
2023-03-05 06:45,260.174,0.000
2023-03-05 07:00,260.360,0.000
2023-03-05 07:15,260.643,0.000
