,date,weather,summary,icon,temperature,feels_like,wind_chill,soil_temperature,dew_point,surface_temperature,pressure,cape,evaporation,irradiance,ozone,humidity,wind.speed,wind.gusts,wind.angle,wind.dir,cloud_cover.total,cloud_cover.low,cloud_cover.middle,cloud_cover.high,precipitation.total,precipitation.type
0,2023-06-09T00:00:00,sunny,Sunny,2,14.0,12.4,12.4,15.8,10.0,12.9,1017,0,0.01,0.0,365,76.0,5.4,9.4,53,NE,3,1,3,0,0.0,none
1,2023-06-09T01:00:00,sunny,Sunny,2,13.4,11.9,11.8,15.0,9.7,12.6,1017,0,0.01,0.0,366,78.0,5.1,9.2,52,NE,4,1,4,0,0.0,none
2,2023-06-09T02:00:00,mostly_sunny,Mostly sunny,3,12.9,11.4,11.2,14.4,9.5,12.4,1017,0,0.01,0.0,365,79.0,5.0,8.7,50,NE,12,4,10,0,0.0,none
3,2023-06-09T03:00:00,partly_sunny,Partly sunny,4,12.5,10.6,10.7,13.8,9.3,12.2,1017,0,0.01,0.0,362,80.0,4.9,8.3,50,NE,29,23,22,0,0.0,none
4,2023-06-09T04:00:00,partly_sunny,Partly sunny,4,12.3,10.4,10.5,13.5,9.1,12.4,1016,0,0.01,0.0,360,80.0,5.0,8.0,52,NE,26,16,25,0,0.0,none
5,2023-06-09T05:00:00,mostly_sunny,Mostly sunny,3,12.3,10.5,10.4,13.2,9.1,12.3,1016,0,0.02,8.1,359,80.0,5.0,7.9,54,NE,20,14,14,0,0.0,none
6,2023-06-09T06:00:00,mostly_sunny,Mostly sunny,3,12.2,10.6,10.4,13.0,9.2,12.6,1016,0,0.05,79.8,357,81.0,4.8,7.9,59,ENE,13,10,10,0,0.0,none
7,2023-06-09T07:00:00,sunny,Sunny,2,13.0,11.8,11.4,13.2,9.8,14.2,1016,0,0.12,202.9,356,80.0,4.8,8.5,63,ENE,6,4,5,0,0.0,none
8,2023-06-09T08:00:00,sunny,Sunny,2,14.4,13.3,13.2,13.9,10.4,16.6,1016,0,0.2,345.6,358,76.0,4.9,9.1,69,ENE,2,1,1,0,0.0,none
9,2023-06-09T09:00:00,sunny,Sunny,2,16.4,15.5,15.6,15.2,11.2,19.3,1016,0,0.31,498.0,358,71.0,4.9,9.1,73,ENE,0,0,0,0,0.0,none
10,2023-06-09T10:00:00,sunny,Sunny,2,18.5,17.9,18.2,16.8,12.1,22.3,1016,0,0.42,633.2,358,66.0,4.5,8.8,77,ENE,5,0,0,5,0.0,none
11,2023-06-09T11:00:00,sunny,Sunny,2,20.6,20.4,20.9,18.7,12.9,24.9,1016,0,0.53,741.3,358,61.0,4.3,8.8,75,ENE,6,0,0,6,0.0,none
12,2023-06-09T12:00:00,sunny,Sunny,2,22.7,22.8,23.5,20.5,14.2,26.5,1016,0,0.63,812.6,357,58.0,4.2,9.5,76,ENE,9,0,0,9,0.0,none
13,2023-06-09T13:00:00,sunny,Sunny,2,24.1,24.6,25.4,22.1,14.7,28.0,1016,2,0.68,820.8,356,55.0,4.2,10.7,71,ENE,4,0,1,3,0.0,none
14,2023-06-09T14:00:00,mostly_sunny,Mostly sunny,3,25.5,25.6,27.1,23.3,15.0,28.4,1015,16,0.66,732.8,356,52.0,4.7,10.8,70,ENE,17,2,14,3,0.0,none
15,2023-06-09T15:00:00,mostly_sunny,Mostly sunny,3,26.3,26.0,27.9,23.9,14.6,28.3,1015,20,0.52,525.9,355,48.0,5.1,10.6,69,ENE,12,1,11,2,0.0,none
16,2023-06-09T16:00:00,sunny,Sunny,2,26.6,26.5,28.4,23.8,14.8,27.3,1014,37,0.54,554.2,355,48.0,5.1,10.1,67,ENE,8,0,8,0,0.0,none
17,2023-06-09T17:00:00,rain_shower,Rain shower,13,26.9,26.7,28.7,23.8,15.0,26.7,1014,84,0.51,509.6,353,47.0,5.0,10.0,66,ENE,14,0,13,2,0.8,rain
18,2023-06-09T18:00:00,mostly_sunny,Mostly sunny,3,26.2,26.1,27.9,24.0,15.2,26.1,1014,86,0.34,349.5,352,50.0,5.1,9.3,62,ENE,15,0,15,0,0.0,none
19,2023-06-09T19:00:00,sunny,Sunny,2,25.9,25.7,27.4,23.3,15.4,24.2,1014,43,0.23,206.0,350,52.0,5.4,8.5,61,ENE,7,0,7,0,0.0,none
20,2023-06-09T20:00:00,sunny,Sunny,2,25.3,24.8,26.7,22.7,14.8,22.5,1014,4,0.19,112.8,348,52.0,5.7,10.0,64,ENE,7,0,7,0,0.0,none
21,2023-06-09T21:00:00,sunny,Sunny,2,24.0,23.1,25.0,22.2,14.3,20.9,1014,0,0.08,21.4,347,54.0,5.9,10.2,66,ENE,7,0,7,0,0.0,none
22,2023-06-09T22:00:00,sunny,Sunny,2,22.1,21.2,22.7,21.3,13.7,19.6,1015,0,0.04,0.0,346,58.0,5.8,9.9,71,ENE,5,0,5,0,0.0,none
23,2023-06-09T23:00:00,sunny,Sunny,2,20.6,19.6,20.7,19.8,13.2,18.9,1015,0,0.03,0.0,346,62.0,5.5,9.4,74,ENE,8,0,8,0,0.0,none
24,2023-06-10T00:00:00,sunny,Sunny,2,19.8,18.6,19.7,19.1,12.8,18.1,1015,0,0.03,0.0,342,64.0,5.8,9.0,78,ENE,9,0,9,0,0.0,none
25,2023-06-10T01:00:00,mostly_sunny,Mostly sunny,3,19.2,17.7,19.0,18.5,11.5,17.7,1015,1,0.03,0.0,341,61.0,5.6,8.9,85,E,11,0,11,0,0.0,none
26,2023-06-10T02:00:00,mostly_sunny,Mostly sunny,3,18.7,17.1,18.4,18.0,10.5,17.1,1016,2,0.03,0.0,341,58.0,5.3,8.7,88,E,13,0,13,0,0.0,none
27,2023-06-10T03:00:00,sunny,Sunny,2,18.0,16.6,17.6,17.4,10.3,16.7,1016,0,0.03,0.0,340,60.0,5.1,8.6,87,E,10,0,10,0,0.0,none
28,2023-06-10T04:00:00,sunny,Sunny,2,17.4,16.0,16.8,16.9,10.6,16.4,1016,1,0.03,0.0,340,64.0,5.1,8.5,85,E,8,0,8,0,0.0,none
29,2023-06-10T05:00:00,mostly_sunny,Mostly sunny,3,16.7,15.3,15.9,16.4,11.0,15.7,1016,0,0.03,7.9,340,69.0,5.1,8.6,84,E,13,0,13,0,0.0,none
